iter	Passed	Remaining
1444	26710	10259
1445	26729	10240
1446	26746	10221
1447	26763	10202
1448	26780	10183
1449	26797	10164
1450	26814	10145
1451	26830	10126
1452	26847	10107
1453	26867	10089
1454	26885	10070
1455	26903	10051
1456	26919	10032
1457	26936	10013
1458	26951	9993
1459	26967	9974
1460	26985	9955
1461	27000	9936
1462	27018	9917
1463	27035	9898
1464	27052	9879
1465	27069	9860
1466	27089	9842
1467	27103	9822
1468	27122	9803
1469	27139	9785
1470	27158	9766
1471	27176	9748
1472	27192	9728
1473	27209	9709
1474	27234	9693
1475	27257	9676
1476	27275	9658
1477	27291	9638
1478	27310	9620
1479	27328	9601
1480	27346	9583
1481	27366	9565
1482	27385	9546
1483	27402	9527
1484	27419	9509
1485	27436	9490
1486	27454	9471
1487	27472	9452
1488	27492	9434
1489	27509	9415
1490	27527	9397
1491	27547	9379
1492	27566	9360
1493	27587	9343
1494	27605	9324
1495	27621	9305
1496	27640	9287
1497	27660	9269
1498	27681	9251
1499	27702	9234
1500	27721	9216
1501	27742	9198
1502	27760	9179
1503	27778	9160
1504	27798	9143
1505	27814	9123
1506	27839	9107
1507	27862	9090
1508	27882	9072
1509	27901	9054
1510	27922	9036
1511	27943	9018
1512	27962	9000
1513	27982	8982
1514	28004	8965
1515	28024	8946
1516	28042	8928
1517	28062	8910
1518	28081	8892
1519	28101	8874
1520	28122	8856
1521	28144	8839
1522	28165	8821
1523	28189	8804
1524	28209	8786
1525	28227	8767
1526	28244	8748
1527	28262	8730
1528	28277	8710
1529	28294	8691
1530	28312	8673
1531	28330	8654
1532	28346	8635
1533	28364	8616
1534	28382	8598
1535	28400	8579
1536	28417	8560
1537	28435	8541
1538	28451	8522
1539	28470	8504
1540	28487	8485
1541	28506	8466
1542	28526	8448
1543	28545	8430
1544	28564	8412
1545	28582	8393
1546	28600	8375
1547	28618	8356
1548	28635	8337
1549	28654	8318
1550	28674	8300
1551	28691	8282
1552	28709	8263
1553	28726	8244
1554	28743	8225
1555	28761	8207
1556	28779	8188
1557	28795	8169
1558	28814	8150
1559	28833	8132
1560	28851	8113
1561	28868	8095
1562	28885	8076
1563	28903	8057
1564	28921	8038
1565	28939	8020
1566	28956	8001
1567	28974	7982
1568	28992	7964
1569	29010	7945
1570	29028	7927
1571	29047	7908
1572	29068	7890
1573	29088	7872
1574	29105	7853
1575	29121	7834
1576	29138	7815
1577	29157	7797
1578	29173	7778
1579	29192	7759
1580	29211	7741
1581	29228	7722
1582	29246	7704
1583	29265	7685
1584	29284	7667
1585	29302	7648
1586	29321	7630
1587	29340	7612
1588	29359	7593
1589	29378	7575
1590	29395	7556
1591	29412	7537
1592	29427	7518
1593	29445	7499
1594	29463	7481
1595	29480	7462
1596	29495	7443
1597	29514	7424
1598	29531	7406
1599	29549	7387
1600	29568	7368
1601	29586	7350
1602	29603	7331
1603	29621	7312
1604	29639	7294
1605	29655	7275
1606	29673	7256
1607	29692	7238
1608	29710	7219
1609	29732	7202
1610	29750	7183
1611	29770	7165
1612	29801	7150
1613	29830	7134
1614	29854	7116
1615	29875	7099
1616	29895	7081
1617	29918	7063
1618	29940	7045
1619	29959	7027
1620	29979	7009
1621	30000	6991
1622	30018	6972
1623	30036	6954
1624	30052	6935
1625	30071	6916
1626	30087	6897
1627	30104	6879
1628	30123	6860
1629	30140	6841
1630	30157	6822
1631	30175	6804
1632	30194	6785
1633	30213	6767
1634	30232	6749
1635	30253	6731
1636	30274	6713
1637	30292	6694
1638	30309	6675
1639	30327	6657
1640	30345	6638
1641	30365	6620
1642	30383	6601
1643	30399	6582
1644	30417	6564
1645	30438	6546
1646	30456	6527
1647	30476	6509
1648	30496	6491
1649	30515	6473
1650	30535	6454
1651	30553	6436
1652	30575	6418
1653	30594	6400
1654	30612	6381
1655	30633	6363
1656	30653	6345
1657	30673	6327
1658	30692	6308
1659	30710	6290
1660	30730	6271
1661	30750	6253
1662	30767	6234
1663	30783	6215
